id,Columns,GPT Instructions,Column_Confidential_Subclass,Table_name
0,branch_id,"Always use this column,if multiple table present",text,accessdetails.__genai_portfolio_outstanding_1756049975215338_1756053175
1,member_id,,text,accessdetails.__genai_portfolio_outstanding_1756049975215338_1756053175
2,loan_id,,text,accessdetails.__genai_portfolio_outstanding_1756049975215338_1756053175
3,principal_outstanding,"Always use this column if the input question is asked for principal outstanding amount, outstanding amount.",numeric,accessdetails.__genai_portfolio_outstanding_1756049975215338_1756053175
4,funder_id,,text,accessdetails.__genai_portfolio_outstanding_1756049975215338_1756053175
5,branch_id,"Always use this column,if multiple table present",text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
6,kendra_id,,text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
7,kendra_name,,text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
8,member_id,,text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
9,first_activation_date,,text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
10,reactivation_date,,text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
11,customer_activation_date,,text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
12,meeting_day,,text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
13,meeting_date,,text,accessdetails.__genai_customer_details_1756049993575638_1756052886934
14,branch_id,Use this column when the question has branch temr in it.,text,accessdetails.__genai_recovery_details_1756049922474528_1756052912237
15,member_id,,text,accessdetails.__genai_recovery_details_1756049922474528_1756052912237
16,tot_principal_due,,numeric,accessdetails.__genai_recovery_details_1756049922474528_1756052912237
17,tot_interest_due,,numeric,accessdetails.__genai_recovery_details_1756049922474528_1756052912237
18,tot_principal_coll,,numeric,accessdetails.__genai_recovery_details_1756049922474528_1756052912237
19,tot_interest_coll,,numeric,accessdetails.__genai_recovery_details_1756049922474528_1756052912237
20,branch_id,"Always use this column,if multiple table present",text,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
21,member_id,,text,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
22,account_id,,text,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
23,funder_id,,text,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
24,fund_name,,text,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
25,overdue_principal,,numeric,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
26,overdue_interest,,numeric,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
27,days_in_arrear,,numeric,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
28,par_amount,,numeric,accessdetails.__genai_arrear_details_1756049949594103_1756052901040
29,branch_id,"Always use this column,if multiple table present",text,accessdetails.__genai_last_working_days_1756049805381754_1756052921395
30,today_date,,text,accessdetails.__genai_last_working_days_1756049805381754_1756052921395
31,last_working_day,,text,accessdetails.__genai_last_working_days_1756049805381754_1756052921395
32,next_working_day,,text,accessdetails.__genai_last_working_days_1756049805381754_1756052921395
33,funder_id,,text,accessdetails.__genai_fund_1756049783884745_1756052932734
34,fund_name,,text,accessdetails.__genai_fund_1756049783884745_1756052932734
35,branch_id,"Always use this column,if multiple table present",text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
36,member_id,Always use this column if the input question is asked for disbursment count or just count.,text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
37,loan_status,,text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
38,loan_id,,text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
39,funder_id,,text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
40,product,,text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
41,term,,text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
42,amount,"Always use this column when the input question is asked for disbursment amount, disbursment or amount",numeric,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
43,ln_value_date,"Whenever the user question has timeframes (monthly, weekly, daily, quarterly, past week, mentioned date etc.) in it then  strictly use this column.",text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
44,loan_closed_date,the date when loan was closed,text,accessdetails.__genai_loans_disbursement_1756049896399611_1756121654
45,state_name,,text,accessdetails.__genai_branch_master_1756049768773113_1756052942850
46,region_name,,text,accessdetails.__genai_branch_master_1756049768773113_1756052942850
47,zone_name,,text,accessdetails.__genai_branch_master_1756049768773113_1756052942850
48,area_name,,text,accessdetails.__genai_branch_master_1756049768773113_1756052942850
49,branch_name,,text,accessdetails.__genai_branch_master_1756049768773113_1756052942850
50,branch_id,"Always use this column,if multiple table present",text,accessdetails.__genai_branch_master_1756049768773113_1756052942850
51,branch_id,"Always use this column,if multiple table present",text,accessdetails.__genai_preclosure_1756049872124225_1756105475
52,member_id,,text,accessdetails.__genai_preclosure_1756049872124225_1756105475
53,loan_id,,text,accessdetails.__genai_preclosure_1756049872124225_1756105475
54,preclosed_date,,text,accessdetails.__genai_preclosure_1756049872124225_1756105475
55,preclose_flag,,text,accessdetails.__genai_preclosure_1756049872124225_1756105475
56,principal_preclosure,,numeric,accessdetails.__genai_preclosure_1756049872124225_1756105475
57,interest_preclosure,,numeric,accessdetails.__genai_preclosure_1756049872124225_1756105475
